area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Kasavanhalli,1060,2.0,2.0,58.06
Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,Rajaji Nagar,710,6.0,3.0,160.0
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Sanjay nagar,1000,2.0,2.0,70.0
Super built-up  Area,18-Dec,Electronic City,2 BHK,Electronic City,1000,2.0,1.0,28.88
Super built-up  Area,Ready To Move, Mysore Highway,3 BHK, Mysore Highway,1450,2.0,2.0,70.0
Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,ISRO Layout,1200,4.0,2.0,155.0
Super built-up  Area,17-Aug,Thanisandra,2 BHK,Thanisandra,1296,2.0,3.0,80.0
Super built-up  Area,Ready To Move,Domlur,3 BHK,Domlur,1540,3.0,2.0,90.0
Plot  Area,Ready To Move,Kengeri,4 Bedroom,Kengeri,2894,4.0,1.0,245.0
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,Sarjapura - Attibele Road,1330,2.0,1.0,48.0
Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,Devasthanagalu,1200,2.0,1.0,65.0
Built-up  Area,Ready To Move,T Dasarahalli,3 Bedroom,T Dasarahalli,1200,3.0,1.0,90.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,Yeshwanthpur,2502,3.0,3.0,138.0
Built-up  Area,Ready To Move,Chandapura,2 BHK,Chandapura,650,1.0,1.0,17.0
Plot  Area,Ready To Move,Kothanur,3 Bedroom,Kothanur,2400,2.0,1.0,150.0
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Green View Layout,1007,2.0,2.0,43.0
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Shantiniketan Layout,1200,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Peenya,2 BHK,Peenya,966,2.0,2.0,49.9
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,Nagarbhavi,1630,2.0,1.0,98.0
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Rajaji Nagar,1640,3.0,2.0,229.0
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,Jalahalli West,782,2.0,2.0,55.68
Super built-up  Area,19-Apr,Devanahalli,2 BHK,Devanahalli,1260,2.0,2.0,66.78
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,Lakshmiamma Garden,1800,3.0,3.0,120.0
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Byatarayanapura,1413,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Whitefield,1116,2.0,1.0,51.91
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Electronic City,1530,2.0,1.0,45.9
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,Ramamurthy Nagar,3700,4.0,1.0,225.0
Built-up  Area,Ready To Move,Sarjapur  Road,3 Bedroom,Sarjapur  Road,2497,3.0,2.0,140.0
Super built-up  Area,Ready To Move,Kengeri,3 BHK,Kengeri,1540,2.0,3.0,64.0
Super built-up  Area,18-Dec,Thanisandra,3 BHK,Thanisandra,1436,3.0,1.0,74.75
Super built-up  Area,18-Jun,Malleshwaram,2 BHK,Malleshwaram,1100,2.0,2.0,75.0
Plot  Area,Ready To Move,Hennur Road,2 Bedroom,Hennur Road,276,3.0,3.0,23.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Thanisandra,1427,3.0,2.0,120.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,Akshaya Nagar,2061,3.0,1.0,200.0
Super built-up  Area,18-Mar,Hebbal,4 BHK,Hebbal,3067 - 8156,4.0,0.0,477.0
Built-up  Area,Ready To Move,Shampura,4 BHK,Shampura,2650,4.0,2.0,150.0
Super built-up  Area,22-Dec,Devanahalli,3 BHK,Devanahalli,1282,2.0,2.0,68.52
Built-up  Area,Ready To Move,Kadugodi,2 BHK,Kadugodi,1050,2.0,1.0,34.0
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,LB Shastri Nagar,1600,3.0,2.0,65.0
Super built-up  Area,22-Jan,Vajarahalli,2 BHK,Vajarahalli,945,2.0,1.0,54.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,Hormavu,1500,2.0,1.0,78.0
Plot  Area,Ready To Move,Vishwapriya Layout,7 Bedroom,Vishwapriya Layout,950,7.0,0.0,115.0
Built-up  Area,Ready To Move,Peenya,3 BHK,Peenya,1870,3.0,3.0,110.0
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Sarjapur,1600,3.0,1.0,75.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Electronic City,880,1.0,1.0,16.5
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,Ramaswamy Palya - Kammanahalli Main Road,1200,4.0,0.0,210.0
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Kudlu Gate,1535,3.0,2.0,83.0
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Kanakpura Road,950,2.0,1.0,57.0
Super built-up  Area,18-Aug,Devanahalli,2 BHK,Devanahalli,1360,2.0,1.0,65.0
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,8th Phase JP Nagar,1042 - 1105,2.0,0.0,54.005
Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,Bommasandra Industrial Area,1280,3.0,1.0,50.4
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,Chandra Layout,1260,2.0,2.0,85.05
Built-up  Area,Ready To Move,Hennur Road,8 Bedroom,Hennur Road,5000,8.0,0.0,250.0
Super built-up  Area,19-Dec,Yelahanka,5 BHK,Yelahanka,3050,5.0,1.0,213.0
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,Kasavanhalli,1563.05,3.0,1.0,105.0
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,ISRO Layout,1000,2.0,1.0,60.0
Super built-up  Area,17-Jul,Anandapura,2 BHK,Anandapura,1167,2.0,1.0,43.76
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,Vishveshwarya Layout,4000,7.0,2.0,225.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Kothanur,1828,3.0,0.0,110.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Kengeri Satellite Town,890,2.0,1.0,35.0
Super built-up  Area,Ready To Move,Basavanapura,3 BHK,Basavanapura,1612,3.0,3.0,46.74
Plot  Area,Ready To Move,Dinnur,6 Bedroom,Dinnur,1034,5.0,0.0,185.0
Super built-up  Area,19-Apr,Mysore Road,3 BHK,Mysore Road,1710,4.0,2.0,91.31
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,Kannamangala,957,2.0,1.0,58.0
Super built-up  Area,18-May, Devarachikkanahalli,3 BHK, Devarachikkanahalli,1250,2.0,3.0,44.0
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,Sanjeevini Nagar,2795,4.0,0.0,235.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Hulimavu,1125,2.0,2.0,50.0
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Electronic City Phase II,1020,2.0,1.0,30.6
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Kalena Agrahara,1200,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Thanisandra,1735,3.0,3.0,135.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Thanisandra,2050,3.0,1.0,145.0
Plot  Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,Mahalakshmi Layout,3750,4.0,0.0,760.0
Built-up  Area,Ready To Move,Yarandahalli,3 BHK,Yarandahalli,1350,2.0,3.0,48.0
Super built-up  Area,18-May,Hosa Road,2 BHK,Hosa Road,1063,2.0,1.0,32.0
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,Keshava Nagar,1904,3.0,1.0,150.0
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,Whitefield,4200,4.0,2.0,420.0
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,RMV Extension,2000,3.0,1.0,175.0
Super built-up  Area,18-Dec,Sarjapur,2 BHK,Sarjapur,1145 - 1340,2.0,0.0,43.49
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Tejaswini Nagar,1425,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Electronic City,1500,2.0,1.0,64.5
Built-up  Area,Ready To Move,Electronic City,2 BHK,Electronic City,1060,2.0,1.0,60.0
Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,Jai Bheema Nagar,1470,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,Kothnur Narayanapura,1300,6.0,0.0,99.0
Super built-up  Area,Ready To Move,Attibele,1 BHK,Attibele,450,1.0,1.0,11.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,Electronic City,1152,2.0,1.0,64.5
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Electronic City,1350,2.0,1.0,56.0
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,CV Raman Nagar,1550,3.0,3.0,65.0
Plot  Area,Ready To Move,CHIKKATIRUPATHI,3 Bedroom,CHIKKATIRUPATHI,1500,3.0,2.0,100.0
Plot  Area,Ready To Move,Kumaraswami Layout,5 Bedroom,Kumaraswami Layout,600,3.0,2.0,85.0
Plot  Area,Ready To Move,Nagavara,1 Bedroom,Nagavara,400,1.0,0.0,14.0
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,Malleshwaram,705,1.0,2.0,67.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,Electronic City,770,1.0,1.0,36.0
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Hulimavu,1242,2.0,3.0,51.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Hebbal Kempapura,1700,3.0,2.0,155.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Thanisandra,2144,3.0,2.0,145.0
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Vijayanagar,1704,3.0,2.0,110.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Electronic City,1070,2.0,1.0,52.0
Plot  Area,Ready To Move,8th block Koramangala,3 Bedroom,8th block Koramangala,1846,3.0,2.0,300.0
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,Jakkuru Layout,1340,2.0,2.0,55.7
Built-up  Area,Ready To Move,Electronic City,2 BHK,Electronic City,1025,2.0,1.0,46.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,KR Puram,1015 - 1540,2.0,0.0,56.8
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Marathahalli,1200,2.0,2.0,52.0
Built-up  Area,18-Dec,Kanakpura Road,4 Bedroom,Kanakpura Road,2250,4.0,1.0,110.0
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,Pattandur Agrahara,1550,2.0,3.0,80.0
Plot  Area,Ready To Move,Bellandur,4 Bedroom,Bellandur,1200,5.0,0.0,325.0
Plot  Area,Ready To Move,Ejipura,7 Bedroom,Ejipura,1800,7.0,1.0,250.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Marathahalli,1200,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Yelahanka,1327,2.0,2.0,98.0
Super built-up  Area,Ready To Move,Kothanur,2 BHK,Kothanur,1186,2.0,2.0,58.0
Built-up  Area,Ready To Move,MS Pallya,3 Bedroom,MS Pallya,1783,3.0,1.0,115.0
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,HSR Layout,1400,3.0,2.0,56.0
Super built-up  Area,Ready To Move,Nagasandra,2 BHK,Nagasandra,980,2.0,1.0,48.0
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,EPIP Zone,1285,2.0,2.0,82.0
Super built-up  Area,Ready To Move,Langford Town,3 BHK,Langford Town,912,2.0,1.0,70.0
Built-up  Area,Ready To Move,Whitefield,2 BHK,Whitefield,1225,2.0,2.0,47.6
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Whitefield,1075,2.0,1.0,53.0
Built-up  Area,Ready To Move,Kadugodi,3 BHK,Kadugodi,1260,2.0,2.0,54.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Yelahanka,1282,2.0,2.0,48.7
Super built-up  Area,Ready To Move,Kogilu,3 BHK,Kogilu,1909,3.0,2.0,88.0
Super built-up  Area,Ready To Move,Panathur,2 BHK,Panathur,1359,2.0,1.0,87.0
Built-up  Area,Ready To Move,Nagondanahalli,2 BHK,Nagondanahalli,1207,2.0,2.0,43.5
Plot  Area,Ready To Move,Padmanabhanagar,4 Bedroom,Padmanabhanagar,1736,6.0,0.0,190.0
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,1st Block Jayanagar,2850,4.0,1.0,428.0
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,Kammasandra,1595,3.0,2.0,65.0
Built-up  Area,18-Jun,"Off Sarjapur Road, ",3 BHK,"Off Sarjapur Road, ",1798,3.0,2.0,89.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,Electronics City Phase 1,1475,3.0,2.0,78.29
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,Tala Cauvery Layout,1580,3.0,3.0,100.0
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Dasarahalli,1295,2.0,1.0,65.0
Built-up  Area,Ready To Move,Magadi Road,6 Bedroom,Magadi Road,3600,6.0,0.0,141.0
Super built-up  Area,Ready To Move,Electronic City,1 BHK,Electronic City,589,1.0,1.0,27.0
Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,Ngef Layout,1415,3.0,3.0,78.0
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,Sarjapur  Road,1787,3.0,2.0,98.29
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Sarjapur  Road,1787,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Koramangala,1475,2.0,3.0,90.0
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,"Lakshminarayanapura, Electronic City Phase 2",2000,4.0,1.0,75.5
Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,Sarjapur  Road,984,2.0,1.0,44.28
Super built-up  Area,19-Dec,Devanahalli,3 BHK,Devanahalli,1520 - 1740,0.0,0.0,74.82
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3 BHK,Muthurayya Swamy Layout,2405,4.0,2.0,260.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,7th Phase JP Nagar,1080,2.0,2.0,72.0
Plot  Area,Ready To Move,Shantiniketan Layout,2 Bedroom,Shantiniketan Layout,1500,2.0,1.0,115.0
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Hebbal,1900,3.0,2.0,119.0
Super built-up  Area,19-Aug,Dommasandra,2 BHK,Dommasandra,805,2.0,1.0,22.14
Super built-up  Area,Ready To Move,Budigere,2 BHK,Budigere,1153,2.0,2.0,56.4
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,Dodda Nekkundi Extension,1148,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Mylasandra,2 BHK,Mylasandra,1110,2.0,2.0,55.0
Built-up  Area,Ready To Move,Electronic City,2 BHK,Electronic City,1100,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,Kalyan nagar,1290,2.0,2.0,110.0
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3 BHK,Dr Shivarama Karantha Nagar,1500,2.0,1.0,65.0
Super built-up  Area,18-Apr,Bank Of Baroda Colony,2 BHK,Bank Of Baroda Colony,1080,2.0,2.0,39.0
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Vijayanagar,1933,3.0,1.0,129.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,Ramamurthy Nagar,3500,5.0,2.0,150.0
Built-up  Area,Ready To Move,Kullappa Colony,2 BHK,Kullappa Colony,1060,2.0,2.0,60.0
Super built-up  Area,18-Aug,Chandapura,1 BHK,Chandapura,645,1.0,1.0,16.45
Plot  Area,Ready To Move,Mukkutam Nagar,8 Bedroom,Mukkutam Nagar,2600,8.0,2.0,180.0
Super built-up  Area,18-Sep,Chandapura,1 BHK,Chandapura,645,1.0,1.0,16.45
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,Ashwath Nagar,1644,3.0,3.0,84.0
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2 BHK,Ncpr Industrial Layout,1285,2.0,3.0,72.5
Plot  Area,Ready To Move,Electronic City,3 Bedroom,Electronic City,1200,3.0,1.0,90.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Electronic City,910,2.0,1.0,40.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Kothanur,1577,3.0,1.0,70.0
Plot  Area,17-May,Meenakunte,3 Bedroom,Meenakunte,4050,3.0,2.0,280.0
Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,OMBR Layout,2420,3.0,2.0,185.0
Super built-up  Area,Ready To Move,Chandapura,2 BHK,Chandapura,800,1.0,1.0,20.0
Built-up  Area,Ready To Move,Anand Nagar,2 BHK,Anand Nagar,1060,2.0,2.0,55.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,7th Phase JP Nagar,1270,2.0,2.0,93.0
Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,2 BHK,Shree Ananth Nagar Layout,900,2.0,2.0,22.5
Built-up  Area,Ready To Move,Kundalahalli Colony,2 Bedroom,Kundalahalli Colony,1280,2.0,1.0,69.0
Plot  Area,Ready To Move,Horamavu Agara,4 Bedroom,Horamavu Agara,1200,2.0,0.0,95.0
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Sarjapur  Road,1025,2.0,2.0,36.0
Super built-up  Area,17-Jun,Electronic City,2 BHK,Electronic City,1108,2.0,1.0,63.0
Plot  Area,Ready To Move,MCECHS  layout,5 Bedroom,MCECHS  layout,1200,5.0,0.0,170.0
